epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
57,21860.3,1.67163,1.0385,1.27423,0.43706,0.3,0.32652,0.18374,1.91473,1.76813,1.43706,0.004456,0.004456,0.004456
58,22238.9,1.66133,1.03615,1.26984,0.43753,0.30041,0.3269,0.18416,1.91284,1.75612,1.43503,0.004357,0.004357,0.004357
59,22620.1,1.66154,1.03311,1.26634,0.43733,0.30093,0.32752,0.1846,1.91194,1.74292,1.43384,0.004258,0.004258,0.004258
60,22890.4,1.64963,1.02615,1.25476,0.43691,0.30139,0.32784,0.18482,1.91026,1.72402,1.43173,0.004159,0.004159,0.004159
61,23255.7,1.65044,1.02491,1.25818,0.43735,0.30237,0.32819,0.18524,1.90849,1.71279,1.4299,0.00406,0.00406,0.00406
62,23630.8,1.65421,1.01691,1.25628,0.43788,0.30313,0.32875,0.18577,1.90692,1.69757,1.42891,0.003961,0.003961,0.003961
63,24009.6,1.63554,0.99601,1.25105,0.43846,0.30346,0.32933,0.18611,1.90625,1.68231,1.42772,0.003862,0.003862,0.003862
64,24389.9,1.6349,1.00278,1.25063,0.43918,0.30383,0.33017,0.18649,1.90398,1.65914,1.42628,0.003763,0.003763,0.003763
65,24770.8,1.64131,0.99385,1.25365,0.44104,0.30432,0.33041,0.18667,1.9027,1.6491,1.42498,0.003664,0.003664,0.003664
66,25041.5,1.62903,0.97689,1.23852,0.44113,0.30463,0.33094,0.18738,1.90187,1.6409,1.42331,0.003565,0.003565,0.003565
67,25413.5,1.62406,0.96928,1.24815,0.44194,0.30494,0.33188,0.18779,1.9007,1.62502,1.42166,0.003466,0.003466,0.003466
68,25811.8,1.62296,0.96933,1.24496,0.44223,0.30535,0.33293,0.18831,1.89978,1.60631,1.42028,0.003367,0.003367,0.003367
69,26093.2,1.6199,0.95566,1.24126,0.4438,0.3055,0.33379,0.18882,1.8986,1.58952,1.41854,0.003268,0.003268,0.003268
70,26470.4,1.61752,0.95979,1.24262,0.44448,0.30556,0.33462,0.18949,1.89742,1.57658,1.41682,0.003169,0.003169,0.003169
71,26852.6,1.61071,0.95695,1.23584,0.44593,0.30607,0.33557,0.18981,1.89668,1.56946,1.4152,0.00307,0.00307,0.00307
72,27121,1.60831,0.94462,1.23709,0.44782,0.30556,0.33634,0.19055,1.89381,1.55252,1.41214,0.002971,0.002971,0.002971
73,27499.7,1.60003,0.93283,1.2315,0.449,0.30576,0.33715,0.19116,1.89182,1.53927,1.4097,0.002872,0.002872,0.002872
74,27778.3,1.59154,0.91953,1.2265,0.44983,0.30586,0.33799,0.19158,1.89064,1.53608,1.40844,0.002773,0.002773,0.002773
75,28146,1.57476,0.90736,1.21982,0.44925,0.3069,0.3388,0.19229,1.88887,1.52922,1.40618,0.002674,0.002674,0.002674
76,28527,1.58471,0.91488,1.21948,0.45082,0.3072,0.33947,0.19266,1.88701,1.52627,1.4043,0.002575,0.002575,0.002575
77,28860.4,1.5699,0.89729,1.21537,0.45227,0.30844,0.34053,0.19336,1.88438,1.52274,1.40242,0.002476,0.002476,0.002476
78,29102.2,1.57699,0.8982,1.21504,0.45303,0.30905,0.34154,0.19402,1.8823,1.5192,1.40087,0.002377,0.002377,0.002377
79,29425,1.57072,0.89232,1.21217,0.45422,0.30929,0.3422,0.19449,1.87983,1.5119,1.39877,0.002278,0.002278,0.002278
80,29774.3,1.57213,0.89021,1.21296,0.45393,0.30988,0.34313,0.19528,1.87726,1.50058,1.39623,0.002179,0.002179,0.002179
81,30121.1,1.56237,0.87667,1.21028,0.45534,0.31047,0.344,0.19554,1.87418,1.49267,1.39347,0.00208,0.00208,0.00208
82,30466.4,1.55517,0.87362,1.20596,0.45634,0.31075,0.34515,0.19611,1.87089,1.48245,1.39072,0.001981,0.001981,0.001981
83,30808.7,1.5534,0.86961,1.20177,0.45669,0.31138,0.34585,0.19713,1.86926,1.47987,1.38922,0.001882,0.001882,0.001882
84,31153.8,1.54873,0.8579,1.19578,0.45583,0.31296,0.34683,0.19776,1.86786,1.4764,1.38777,0.001783,0.001783,0.001783
85,31497.2,1.54116,0.85787,1.1952,0.45287,0.31502,0.34745,0.19815,1.86587,1.47182,1.38639,0.001684,0.001684,0.001684
86,31850.4,1.53571,0.83759,1.19411,0.45149,0.31636,0.34818,0.19862,1.86369,1.46762,1.38464,0.001585,0.001585,0.001585
87,32201.3,1.53402,0.84034,1.19424,0.45141,0.31656,0.34856,0.19892,1.8621,1.46007,1.38292,0.001486,0.001486,0.001486
88,32554.6,1.53268,0.83323,1.19015,0.45192,0.31677,0.3489,0.19917,1.86079,1.45312,1.381,0.001387,0.001387,0.001387
89,32905.9,1.51716,0.8215,1.17817,0.45278,0.318,0.35004,0.19986,1.85899,1.44487,1.37902,0.001288,0.001288,0.001288
90,33253.4,1.51686,0.80422,1.18302,0.45205,0.31908,0.35083,0.20048,1.85677,1.43471,1.37718,0.001189,0.001189,0.001189
91,33524,1.47643,0.69375,1.19183,0.45279,0.31986,0.35217,0.20113,1.85466,1.42153,1.37482,0.00109,0.00109,0.00109
92,33840.1,1.46188,0.67539,1.18186,0.95357,0.32057,0.60341,0.30191,1.85258,1.41164,1.37248,0.000991,0.000991,0.000991
93,34176,1.4484,0.66632,1.17647,0.95391,0.32099,0.60441,0.30244,1.85046,1.40415,1.37055,0.000892,0.000892,0.000892
94,34506.7,1.43994,0.65986,1.17164,0.95514,0.32109,0.60547,0.30305,1.84816,1.39397,1.36835,0.000793,0.000793,0.000793
95,34837.9,1.42804,0.649,1.16683,0.95451,0.32253,0.60669,0.27873,1.84671,1.38819,1.36648,0.000694,0.000694,0.000694
96,35175.2,1.41998,0.63498,1.16054,0.95594,0.32364,0.52486,0.24634,1.84551,1.38547,1.36501,0.000595,0.000595,0.000595
97,35515.5,1.40646,0.63272,1.15398,0.9563,0.32459,0.52561,0.24678,1.84448,1.38119,1.36398,0.000496,0.000496,0.000496
98,35851.5,1.40293,0.62478,1.15643,0.95556,0.32562,0.4604,0.23068,1.84275,1.37664,1.36218,0.000397,0.000397,0.000397
99,36188.3,1.40237,0.62238,1.15291,0.95631,0.32685,0.44516,0.22713,1.84043,1.36958,1.36039,0.000298,0.000298,0.000298
100,36518.6,1.39512,0.61696,1.14904,0.95747,0.32757,0.43459,0.22479,1.83863,1.36144,1.35877,0.000199,0.000199,0.000199
