epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
67,67867.1,1.48809,1.9426,1.14537,0.91142,0.85748,0.91826,0.52451,1.59513,1.59501,1.22344,0.003466,0.003466,0.003466
68,68118,1.47054,1.93082,1.13523,0.91102,0.84848,0.92061,0.52258,1.5996,1.60623,1.22434,0.003367,0.003367,0.003367
69,75154.7,1.50236,1.92158,1.14888,0.91615,0.8447,0.92207,0.52023,1.61073,1.61121,1.23044,0.003268,0.003268,0.003268
70,75488.4,1.4549,1.96124,1.12336,0.91292,0.85382,0.9193,0.52325,1.60737,1.61491,1.22626,0.003169,0.003169,0.003169
71,75906.5,1.49189,1.9066,1.14306,0.90469,0.85795,0.92297,0.52352,1.59818,1.62504,1.2209,0.00307,0.00307,0.00307
72,76314.8,1.46943,1.89032,1.13249,0.8861,0.85795,0.92071,0.5244,1.60373,1.62084,1.2256,0.002971,0.002971,0.002971
73,76725.4,1.43606,1.83333,1.12121,0.88372,0.86932,0.92156,0.52603,1.60699,1.59171,1.22958,0.002872,0.002872,0.002872
74,77142.5,1.48047,1.81303,1.14301,0.89769,0.86417,0.92044,0.52647,1.60937,1.56555,1.23344,0.002773,0.002773,0.002773
75,77559.4,1.4379,1.82561,1.12117,0.90254,0.85946,0.92167,0.52908,1.61119,1.55631,1.23768,0.002674,0.002674,0.002674
76,77953.4,1.42521,1.87356,1.11306,0.89857,0.86932,0.9225,0.52963,1.60772,1.54438,1.23795,0.002575,0.002575,0.002575
77,78403.2,1.44815,1.82206,1.1354,0.91684,0.85615,0.92485,0.52705,1.6108,1.55419,1.2435,0.002476,0.002476,0.002476
78,79023.6,1.39129,1.71371,1.09145,0.91689,0.85669,0.92162,0.52642,1.60778,1.54829,1.23955,0.002377,0.002377,0.002377
79,81616.3,1.43534,1.7317,1.12864,0.91865,0.85549,0.927,0.53044,1.6102,1.53359,1.23918,0.002278,0.002278,0.002278
80,81889.5,1.43758,1.77354,1.10663,0.92014,0.85105,0.92621,0.52782,1.609,1.52152,1.23413,0.002179,0.002179,0.002179
81,82155.4,1.43563,1.79327,1.10854,0.93109,0.84659,0.92894,0.52666,1.61048,1.51528,1.23328,0.00208,0.00208,0.00208
82,82350.3,1.42024,1.74234,1.10786,0.9153,0.85795,0.9296,0.53057,1.61087,1.49657,1.23213,0.001981,0.001981,0.001981
